nome;frequencia;no_casos
TEODOLINA;28;1
VALDEVINA;28;1
VALDIRA;28;1
ZENITA;28;1
ACELINA;27;1
ALAIR;27;1
ANALICE;27;1
CONSTANCA;27;1
EPIFANIA;27;1
EPONINA;27;1
ERMINA;27;1
GERUSA;27;1
HERMINA;27;1
IZILDA;27;1
NATALICIA;27;1
OLIVA;27;1
ORMEZINDA;27;1
OVIDIA;27;1
PEDROLINA;27;1
QUERUBINA;27;1
YARA;27;1
BRASILIANA;26;1
CARINA;26;1
DINALVA;26;1
DONATILA;26;1
EDWIGES;26;1
ELIDA;26;1
ELISETE;26;1
HELENITA;26;1
INA;26;1
JANIRA;26;1
JORCELINA;26;1
JUSCELINA;26;1
LIBERA;26;1
MARINEIDE;26;1
MARIO;26;1
OLEGARIA;26;1
OSCARLINA;26;1
ROSEMARY;26;1
SENHORA;26;1
ADEILDA;25;1
ALDINA;25;1
CLAUDIANA;25;1
COLETA;25;1
ELENIR;25;1
ELPIDIA;25;1
FELOMENA;25;1
HELENICE;25;1
JEANE;25;1
MÂ¦;25;1
MARLUCIA;25;1
MERCES;25;1
NELLY;25;1
NILZETE;25;1
NOELIA;25;1
OSORIA;25;1
OSWALDINA;25;1
POSSIDONIA;25;1
RAPHAELA;25;1
ROSENDA;25;1
SECUNDINA;25;1
TALITA;25;1
VALDICE;25;1
VERIDIANA;25;1
AIDE;24;1
AMBROSIA;24;1
AUGUSTINHA;24;1
CLAUDINEIA;24;1
CRISTIANA;24;1
EDILEUSA;24;1
ELOINA;24;1
ERMITA;24;1
GEDALVA;24;1
IDALICE;24;1
INÂ¦CIA;24;1
ISAULINA;24;1
KARINA;24;1
LAUDEMIRA;24;1
LAUDICEIA;24;1
LENICE;24;1
LEONIDES;24;1
MAGDA;24;1
MARILENA;24;1
NELCINA;24;1
NELMA;24;1
OROZINA;24;1
ORTENCIA;24;1
PASCHOALINA;24;1
SIMPLICIA;24;1
VERGILINA;24;1
ZENEIDE;24;1
AGUEDA;23;1
BONIFACIA;23;1
CÂ¦NDIDA;23;1
CIDALIA;23;1
CLEMILDA;23;1
DOROTEA;23;1
EDINEIA;23;1
ELOIZA;23;1
ENILDA;23;1
ERENITA;23;1
EVANGELISTA;23;1
GIUSEPPINA;23;1
GRACIA;23;1
HERCULANA;23;1
IRANY;23;1
IZALINA;23;1
LAIR;23;1
LAIS;23;1
LILIANE;23;1
LYGIA;23;1
MAURILIA;23;1
NILA;23;1
NUBIA;23;1
PAIS;23;1
PASCOALINA;23;1
ROMUALDA;23;1
ROSENA;23;1
SEVERINO;23;1
WALDEMIRA;23;1
ADELICE;22;1
ANACLETA;22;1
ANICETA;22;1
ARLENE;22;1
BELINA;22;1
BENEDITO;22;1
CARMITA;22;1
DELIA;22;1
DELICIA;22;1
DIANA;22;1
DOMICIANA;22;1
DORCILIA;22;1
DULCELINA;22;1
DULCINEA;22;1
EDI;22;1
ERMELINA;22;1
EUTALIA;22;1
GISELDA;22;1
HILARIA;22;1
IZIDIA;22;1
JOZINA;22;1
JUCELINA;22;1
LEIA;22;1
LEONIDA;22;1
LEONILIA;22;1
LIBERTINA;22;1
MARTINIANA;22;1
MEIRE;22;1
NAZIRA;22;1
NELITA;22;1
ONELIA;22;1
RAILDA;22;1
SALOME;22;1
VANDETE;22;1
VICENTA;22;1
YVONE;22;1
ALTA;21;1
ARCILIA;21;1
AVANI;21;1
CANUTA;21;1
CATIA;21;1
CESARIA;21;1
CLAIR;21;1
CONCEIÂ¦AO;21;1
CONCHETA;21;1
DELZUITA;21;1
DERALDINA;21;1
DOMERINA;21;1
EDUVIRGES;21;1
EMERENTINA;21;1
ENCARNACION;21;1
FCA;21;1
GRAZIELA;21;1
INALDA;21;1
IRAIDES;21;1
JERONYMA;21;1
LECI;21;1
LTCIA;21;1
LUCRECIA;21;1
MARINES;21;1
MARLETE;21;1
NADYR;21;1
NECI;21;1
OLIVINA;21;1
OSCALINA;21;1
ROSIANE;21;1
ROZARIA;21;1
SUSANA;21;1
TEODOMIRA;21;1
URCULINA;21;1
ZENIR;21;1
CASSIA;20;1
CONCETTA;20;1
DOROTI;20;1
DULCINA;20;1
DUZOLINA;20;1
EDELZUITA;20;1
EDIR;20;1
EDMEA;20;1
ELY;20;1
FLOR;20;1
FLORACI;20;1
FRANCILINA;20;1
GEMA;20;1
GENOEFA;20;1
GERSINA;20;1
GERTUDES;20;1
GLADIS;20;1
ISALINA;20;1
IZAULINA;20;1
JOSENILDA;20;1
JUVERCINA;20;1
L+DIA;20;1
LAURIANA;20;1
LENY;20;1
LIDIANE;20;1
LUANA;20;1
MELANIA;20;1
NC;20;1
NELCY;20;1
NELZA;20;1
NILDE;20;1
NILTA;20;1
PERGENTINA;20;1
ROSINETE;20;1
SHIRLEI;20;1
TEOTONIA;20;1
THOMAZIA;20;1
VALDINA;20;1
VIRGOLINA;20;1
ZENOBIA;20;1
ZULMA;20;1
ADELE;19;1
ALCIDES;19;1
AMARINA;19;1
AMRIA;19;1
ANADIR;19;1
ANTONINHA;19;1
ARIA;19;1
BIANCA;19;1
BRAULIA;19;1
CASEMIRA;19;1
CECI;19;1
CELY;19;1
DAIANE;19;1
DERLY;19;1
DILZA;19;1
DIONE;19;1
EDINALVA;19;1
EDNEIA;19;1
ELEONORA;19;1
ELOA;19;1
FERNANDINA;19;1
FLAVIANA;19;1
FRANCINETE;19;1
GENEROZA;19;1
GENEZIA;19;1
GONCALINA;19;1
HERMINDA;19;1
IVANA;19;1
JAIRA;19;1
