nome;frequencia;no_casos
CREUZA;27;1
ELI;27;1
FAUSTO;27;1
FLAVIA;27;1
FLORA;27;1
FRAZAO;27;1
JOEL;27;1
LEOPOLDINA;27;1
LIBERATO;27;1
LUZINETE;27;1
MACARIO;27;1
MALTA;27;1
MERCEDES;27;1
NEPOMUCENO;27;1
OLEGARIO;27;1
PENA;27;1
PERREIRA;27;1
SALOMAO;27;1
SILVIO;27;1
SOLEDADE;27;1
TARGINO;27;1
TERTO;27;1
TOBIAS;27;1
VASCONCELLOS;27;1
XIMENES;27;1
ABEL;26;1
ADELINA;26;1
APRIGIO;26;1
CLARINDO;26;1
CLOVIS;26;1
CRISTOVAO;26;1
ERIVALDO;26;1
FIALHO;26;1
HIPOLITO;26;1
JUVENAL;26;1
LIMEIRA;26;1
MEDINA;26;1
OLIMPIA;26;1
ORTEGA;26;1
PRIMO;26;1
RENATA;26;1
SALOME;26;1
TEOFILO;26;1
THIAGO;26;1
UBIRAJARA;26;1
VITALINO;26;1
ALZIRA;25;1
ARTHUR;25;1
AURORA;25;1
BENEVIDES;25;1
BERNARDINA;25;1
BITENCOURT;25;1
CORNELIO;25;1
CRISTINE;25;1
DOMICIANO;25;1
ETELVINA;25;1
FELICIA;25;1
GUERREIRO;25;1
HILTON;25;1
IVANILDO;25;1
JORDAO;25;1
JUSTO;25;1
LEITAO;25;1
MADEIRA;25;1
MARTIN;25;1
PEDREIRA;25;1
PRUDENCIO;25;1
TITO;25;1
VERAS;25;1
VITORIANO;25;1
VON;25;1
ANICETO;24;1
BALDUINO;24;1
BENVINDO;24;1
CATHARINA;24;1
DEODATO;24;1
EXPEDITO;24;1
GENTIL;24;1
IGNEZ;24;1
JOS#;24;1
JOVINO;24;1
MARINO;24;1
MEIRE;24;1
MENINO;24;1
MILITAO;24;1
OSWALDO;24;1
PACIFICO;24;1
QUERINO;24;1
RAPOSO;24;1
SANTINO;24;1
SILVANO;24;1
SOBRAL;24;1
TOLENTINO;24;1
VALDECI;24;1
VICENTINA;24;1
VIRGILIO;24;1
ADEMIR;23;1
ALVAREZ;23;1
BOAVENTURA;23;1
CÂ¦NDIDO;23;1
CHARLES;23;1
CLEBER;23;1
CLEIDE;23;1
CORR;23;1
DELMIRO;23;1
DONISETE;23;1
ELEUTERIO;23;1
FEIJO;23;1
FRANCELINA;23;1
FRANKLIN;23;1
GODINHO;23;1
HAMILTON;23;1
IRACEMA;23;1
JULIANA;23;1
JUVENCIO;23;1
LAURO;23;1
MARCULINO;23;1
NATALIA;23;1
PASCHOAL;23;1
